Tel,Livesp,District,Floor,Bal,Price,lon,Walk,Kitsp,rooms,Metrodist,Totsp,lat,New,Brick,N,NFloor
0,34.9,0,3,0,7838741,37.671938,1,0,1,6,34.9,55.775753,0,0,149031278,0
0,15.0,0,3,0,7850000,37.636976,1,0,1,4,24.0,55.770294,0,1,150638556,5
0,29.0,0,2,0,7863878,37.672163,1,0,1,5,29.0,55.776294,0,1,147872339,6
0,19.0,0,3,1,7866000,37.642132,1,0,1,5,34.0,55.774305,0,0,149431030,16
1,20.0,0,2,1,8000000,37.683221,0,0,1,8,37.0,55.734141,0,1,150206839,14
0,29.2,0,5,1,8000000,37.546857,1,0,2,7,43.4,55.754335,0,1,150405030,5
1,20.0,0,8,1,8000000,37.684874,1,0,1,5,35.0,55.743188,0,0,149231113,12
0,19.0,0,8,1,8002800,37.642132,1,0,1,5,34.0,55.774305,0,0,149213364,16
0,25.0,0,2,0,8010090,37.608284,1,0,2,5,39.0,55.721589,0,1,143167140,5
0,0,0,3,0,8076150,37.564689,1,0,1,5,41.1,55.770244,0,1,50961423,39
0,55.2,0,2,0,8081363,37.67228,1,0,2,5,55.2,55.775824,0,1,148800461,6
0,0,0,2,0,8081363,37.672163,1,0,1,5,55.2,55.776294,0,0,149808778,5
0,0,0,2,0,8081363,37.672163,1,0,2,5,55.2,55.776294,0,0,149808771,5
0,55.2,0,2,0,8081363,37.671938,1,0,1,6,55.2,55.775753,0,0,149031323,0
1,15.0,0,2,0,8100000,37.684075,1,0,1,7,35.0,55.743781,0,0,148024672,17
0,42.5,0,1,0,8100000,37.594207,1,0,3,11,56.0,55.788905,0,0,150704407,5
0,19.0,0,3,1,8100000,37.562937,1,0,1,10,31.0,55.757962,0,1,149298419,5
0,39.8,0,2,0,8112552,37.67228,1,0,1,5,39.8,55.775824,0,1,150118455,6
0,39.8,0,2,0,8112552,37.671938,1,0,1,6,39.8,55.775753,0,0,149031339,0
1,80.0,0,6,1,132693323,37.590443,1,0,5,6,250.0,55.762784,0,0,149319054,7
0,156.0,0,8,0,126434800,37.623483,1,0,4,10,156.0,55.768025,0,0,149908048,15
0,34.0,0,3,0,35398539,37.644324,1,0,2,9,73.8,55.744024,0,1,150882335,7
1,40.0,0,4,1,8150000,37.638835,1,0,3,4,56.0,55.733655,0,0,150856219,5
0,40.0,0,4,0,8150000,37.638835,1,0,3,5,56.0,55.733655,0,0,150854616,5
0,0,0,3,0,8157500,37.564689,1,0,1,7,43.0,55.770244,0,0,148778282,44
